date,approve,disapprove
7/3/19,42,51
7/4/19,42,50
7/5/19,45,49
7/6/19,43,51
7/7/19,44,51.5
7/8/19,43,51
7/9/19,40.66666667,52.33333333
7/10/19,40.5,53
7/11/19,45,49
7/12/19,42.33333333,51
7/13/19,43,51
7/14/19,40,53.5
7/15/19,43,50
7/16/19,42,52
7/17/19,43,52
7/18/19,41.33333333,53
7/19/19,42,52
7/20/19,41,54
7/21/19,41,53.33333333
7/22/19,42,53.5
7/23/19,42.25,52
7/24/19,41,52
7/25/19,40.5,55.5
7/26/19,40,53
7/27/19,42.5,51.5
7/28/19,42,53
7/29/19,44,52
7/30/19,42,52.33333333
7/31/19,40.66666667,54
8/1/19,41.5,54
8/2/19,41,53
8/3/19,42.25,52.5
8/4/19,40.5,55.5
8/5/19,39.66666667,57
8/6/19,40.5,51
8/7/19,42,52
8/8/19,42,52
8/9/19,41,52.5
8/10/19,42,50
8/11/19,42,52
8/12/19,43,52
8/13/19,40.75,52.25
8/14/19,42.33333333,53
8/15/19,41.5,52.5
8/16/19,42,53
8/17/19,42,51
8/18/19,39.25,56
8/19/19,41,51
8/20/19,41.2,52.6
8/21/19,43,50
8/22/19,43,51
8/23/19,40.5,53.5
8/24/19,41.33333333,53.33333333
8/25/19,40.5,54
8/26/19,39,54
8/27/19,40.33333333,53.33333333
8/28/19,44,49
8/29/19,41,54
8/30/19,39,56
8/31/19,41,51
9/1/19,42.66666667,51.33333333
9/2/19,43,51
9/3/19,43,50
9/4/19,41.5,52.5
9/5/19,40,54
9/6/19,44,50
9/7/19,40.5,54.5
9/8/19,41.5,53.25
9/9/19,40.5,53
9/10/19,42.66666667,51.33333333
9/11/19,43,50
9/12/19,42,53
9/13/19,41,55.5
9/14/19,42.5,51.5
9/15/19,40.66666667,56
9/16/19,42,53
9/17/19,40.33333333,52.33333333
9/18/19,41,52
